Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 2183: lambda_i = 2, phi_i_L = 3.300000000000001, phi_i_H = 7.399999999999993, Action: phi_i_H[2] increased by 0.1
Episode 2198: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[4] decreased by 0.1
Episode 2203: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.6999999999999975, Action: phi_i_L[1] decreased by 0.1
Episode 2209: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[3] increased by 0.1
Episode 2233: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[3] decreased by 0.1
Episode 2251: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.6999999999999975, Action: phi_i_L[3] decreased by 0.1
Episode 2252: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.099999999999998, Action: phi_i_L[3] decreased by 0.1
Episode 2253: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.099999999999998, Action: phi_i_L[3] decreased by 0.1
Episode 2260: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[4] increased by 0.1
Episode 2273: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.0000000000000004, Action: phi_i_L[5] decreased by 0.1
Episode 2275: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 7.399999999999993, Action: phi_i_L[2] decreased by 0.1
Episode 2294: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[5] increased by 0.1
Episode 2312: lambda_i = 2, phi_i_L = 3.200000000000001, phi_i_H = 7.499999999999993, Action: phi_i_H[2] increased by 0.1
Episode 2319: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[4] decreased by 0.1
Episode 2334: lambda_i = 0, phi_i_L = 2.199999999999999, phi_i_H = 5.099999999999998, Action: phi_i_L[4] decreased by 0.1
Episode 2349: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[3] decreased by 0.1
Episode 2356: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.499999999999993, Action: phi_i_L[2] decreased by 0.1
Episode 2358: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.6999999999999975, Action: phi_i_L[2] decreased by 0.1
Episode 2363: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[3] increased by 0.1
Episode 2370: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.799999999999997, Action: phi_i_H[1] increased by 0.1
Episode 2374: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[4] increased by 0.1
Episode 2403: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[5] increased by 0.1
Episode 2411: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.5999999999999925, Action: phi_i_H[2] increased by 0.1
Episode 2416: lambda_i = 0, phi_i_L = 2.0999999999999988, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 2434: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[3] decreased by 0.1
Episode 2441: lambda_i = 0, phi_i_L = 2.0999999999999988, phi_i_H = 5.1999999999999975, Action: phi_i_H[0] increased by 0.1
Episode 2444: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 2452: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.5999999999999925, Action: phi_i_L[4] decreased by 0.1
Episode 2467: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[5] decreased by 0.1
Episode 2482: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.699999999999992, Action: phi_i_H[2] increased by 0.1
Episode 2494: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[2] increased by 0.1
Episode 2500: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.899999999999997, Action: phi_i_H[1] increased by 0.1
Episode 2503: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[5] increased by 0.1
Episode 2504: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[3] increased by 0.1
Episode 2535: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 2537: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[5] decreased by 0.1
Episode 2552: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.699999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 2554: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.899999999999997, Action: phi_i_L[2] decreased by 0.1
Episode 2570: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.9999999999999964, Action: phi_i_H[1] increased by 0.1
Episode 2584: lambda_i = 0, phi_i_L = 1.9999999999999987, phi_i_H = 5.1999999999999975, Action: phi_i_L[0] decreased by 0.1
Episode 2586: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2604: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.799999999999992, Action: phi_i_H[2] increased by 0.1
Episode 2609: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[4] increased by 0.1
Episode 2610: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[3] increased by 0.1
Episode 2619: lambda_i = 0, phi_i_L = 1.9999999999999987, phi_i_H = 5.1999999999999975, Action: phi_i_H[3] increased by 0.1
Episode 2623: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2646: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 4.9999999999999964, Action: phi_i_L[1] increased by 0.1
Episode 2662: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2666: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2688: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[4] decreased by 0.1
Episode 2699: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 4.9999999999999964, Action: phi_i_L[1] decreased by 0.1
Episode 2708: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 5.099999999999996, Action: phi_i_H[1] increased by 0.1
Episode 2714: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.799999999999992, Action: phi_i_H[1] increased by 0.1
Episode 2718: lambda_i = 0, phi_i_L = 1.9999999999999987, phi_i_H = 5.1999999999999975, Action: phi_i_H[1] increased by 0.1
Episode 2723: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2748: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[3] increased by 0.1
Episode 2757: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2759: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2777: lambda_i = 0, phi_i_L = 1.8999999999999986, phi_i_H = 5.1999999999999975, Action: phi_i_L[0] decreased by 0.1
Episode 2786: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2787: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2788: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.799999999999992, Action: phi_i_L[4] decreased by 0.1
Episode 2796: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2815: lambda_i = 0, phi_i_L = 1.8999999999999986, phi_i_H = 5.099999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 2822: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 7.799999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 2836: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 5.099999999999996, Action: phi_i_L[2] decreased by 0.1
Episode 2864: lambda_i = 1, phi_i_L = 1.299999999999999, phi_i_H = 5.199999999999996, Action: phi_i_H[1] increased by 0.1
Episode 2879: lambda_i = 0, phi_i_L = 1.7999999999999985, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 2892: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2899: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2901: lambda_i = 0, phi_i_L = 1.7999999999999985, phi_i_H = 5.099999999999998, Action: phi_i_H[4] increased by 0.1
Episode 2912: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2916: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2923: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 7.799999999999992, Action: phi_i_H[5] increased by 0.1
Episode 2924: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 7.799999999999992, Action: phi_i_H[5] increased by 0.1
Episode 2933: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2935: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2945: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.199999999999996, Action: phi_i_L[1] decreased by 0.1
Episode 2955: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.299999999999995, Action: phi_i_H[1] increased by 0.1
Episode 2961: lambda_i = 0, phi_i_L = 1.6999999999999984, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 2994: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2997: lambda_i = 0, phi_i_L = 1.6999999999999984, phi_i_H = 5.099999999999998, Action: phi_i_L[4] decreased by 0.1
Episode 3006: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.799999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 3009: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.299999999999995, Action: phi_i_L[2] decreased by 0.1
Episode 3022: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[4] increased by 0.1
Episode 3033: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.399999999999995, Action: phi_i_H[1] increased by 0.1
Episode 3065: lambda_i = 0, phi_i_L = 1.6999999999999984, phi_i_H = 5.099999999999998, Action: phi_i_H[1] increased by 0.1
Episode 3069: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3074: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3082: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[5] increased by 0.1
Episode 3087: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.399999999999995, Action: phi_i_L[1] decreased by 0.1
Episode 3095: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[4] increased by 0.1
Episode 3097: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.8999999999999915, Action: phi_i_H[2] increased by 0.1
Episode 3102: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.8999999999999915, Action: phi_i_L[2] decreased by 0.1
Episode 3138: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3139: lambda_i = 0, phi_i_L = 1.5999999999999983, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 3146: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.499999999999995, Action: phi_i_H[1] increased by 0.1
Episode 3153: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3173: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3179: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.999999999999991, Action: phi_i_H[2] increased by 0.1
Episode 3196: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3198: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.499999999999995, Action: phi_i_L[5] decreased by 0.1
Episode 3211: lambda_i = 0, phi_i_L = 1.5999999999999983, phi_i_H = 5.099999999999998, Action: phi_i_L[5] decreased by 0.1
Episode 3216: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3228: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.999999999999991, Action: phi_i_L[5] decreased by 0.1
Episode 3238: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3240: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.599999999999994, Action: phi_i_H[1] increased by 0.1
Episode 3249: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[5] increased by 0.1
Episode 3252: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.09999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3287: lambda_i = 0, phi_i_L = 1.4999999999999982, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 3302: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 3305: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3315: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.599999999999994, Action: phi_i_H[3] increased by 0.1
Episode 3317: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3323: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[5] increased by 0.1
Episode 3328: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3339: lambda_i = 0, phi_i_L = 1.3999999999999981, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 3356: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[4] increased by 0.1
Episode 3374: lambda_i = 0, phi_i_L = 1.3999999999999981, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 3375: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.19999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3386: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3405: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] decreased by 0.1
Episode 3408: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.19999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 3418: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3427: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3437: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[1] increased by 0.1
Episode 3449: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 3456: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_L[0] decreased by 0.1
Episode 3466: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[0] decreased by 0.1
Episode 3481: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.999999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 3485: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] decreased by 0.1
Episode 3502: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.29999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3505: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3507: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3514: lambda_i = 1, phi_i_L = 1.0999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_L[4] decreased by 0.1
Episode 3518: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.29999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 3526: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3537: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_L[1] increased by 0.1
Episode 3551: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[1] increased by 0.1
Episode 3579: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.899999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 3600: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.29999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 3605: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.39999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3612: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3616: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3628: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[2] increased by 0.1
Episode 3632: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 3657: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3658: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 3666: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3677: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[2] increased by 0.1
Episode 3689: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3696: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3699: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 3704: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] increased by 0.1
Episode 3720: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[5] increased by 0.1
Episode 3734: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.39999999999999, Action: phi_i_L[5] increased by 0.1
Episode 3759: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3764: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3788: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3790: lambda_i = 0, phi_i_L = 1.199999999999998, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 3796: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_L[0] decreased by 0.1
Episode 3805: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] decreased by 0.1
Episode 3821: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.49999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3828: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[2] increased by 0.1
Episode 3840: lambda_i = 0, phi_i_L = 1.199999999999998, phi_i_H = 4.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3849: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 3851: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3861: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3877: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.49999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3890: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 3900: lambda_i = 0, phi_i_L = 1.199999999999998, phi_i_H = 4.699999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 3902: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 3908: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 3914: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 3917: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 3954: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[5] increased by 0.1
Episode 3965: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[5] increased by 0.1
Episode 3971: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[5] increased by 0.1
Episode 3972: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.599999999999989, Action: phi_i_H[2] increased by 0.1
Episode 3977: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3993: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3996: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[3] increased by 0.1
Episode 4019: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 4031: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[5] decreased by 0.1
Episode 4032: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[5] decreased by 0.1
Episode 4042: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.599999999999989, Action: phi_i_H[5] decreased by 0.1
Episode 4047: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[5] decreased by 0.1
Episode 4067: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[5] decreased by 0.1
Episode 4069: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.6, Action: phi_i_H[0] decreased by 0.1
Episode 4078: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 4084: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 4085: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 8.699999999999989, Action: phi_i_H[2] increased by 0.1
Episode 4111: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[2] increased by 0.1
Episode 4119: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 4134: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 4140: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 4.6, Action: phi_i_H[2] increased by 0.1
Episode 4142: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.699999999999994, Action: phi_i_H[2] increased by 0.1
Episode 4146: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 8.699999999999989, Action: phi_i_L[2] increased by 0.1
Episode 4148: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 2.9000000000000012, Action: phi_i_L[2] increased by 0.1
Episode 4178: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[2] increased by 0.1
Episode 4198: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 4201: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.800000000000001, Action: phi_i_L[4] increased by 0.1
Episode 4203: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 8.799999999999988, Action: phi_i_H[2] increased by 0.1
Episode 4226: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 4229: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.0000000000000013, Action: phi_i_H[2] increased by 0.1
Episode 4231: lambda_i = 1, phi_i_L = 1.1999999999999988, phi_i_H = 5.799999999999994, Action: phi_i_H[1] increased by 0.1
Episode 4264: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[5] decreased by 0.1
