Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 2187: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_H[3] increased by 0.1
Episode 2210: lambda_i = 0, phi_i_L = 1.8999999999999986, phi_i_H = 5.599999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 2219: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[3] decreased by 0.1
Episode 2225: lambda_i = 1, phi_i_L = 0.8999999999999988, phi_i_H = 4.6999999999999975, Action: phi_i_L[1] decreased by 0.1
Episode 2228: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[4] increased by 0.1
Episode 2230: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[5] increased by 0.1
Episode 2232: lambda_i = 2, phi_i_L = 3.100000000000001, phi_i_H = 7.299999999999994, Action: phi_i_H[2] increased by 0.1
Episode 2257: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[4] decreased by 0.1
Episode 2258: lambda_i = 1, phi_i_L = 0.8999999999999988, phi_i_H = 4.799999999999997, Action: phi_i_H[1] increased by 0.1
Episode 2272: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[5] decreased by 0.1
Episode 2275: lambda_i = 0, phi_i_L = 1.8999999999999986, phi_i_H = 5.599999999999996, Action: phi_i_L[5] decreased by 0.1
Episode 2302: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[5] increased by 0.1
Episode 2309: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.1000000000000005, Action: phi_i_L[3] decreased by 0.1
Episode 2316: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.299999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 2318: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[4] increased by 0.1
Episode 2332: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_H[3] increased by 0.1
Episode 2333: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[4] decreased by 0.1
Episode 2358: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[5] decreased by 0.1
Episode 2360: lambda_i = 0, phi_i_L = 1.8999999999999986, phi_i_H = 5.599999999999996, Action: phi_i_L[5] decreased by 0.1
Episode 2362: lambda_i = 0, phi_i_L = 1.7999999999999985, phi_i_H = 5.599999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 2399: lambda_i = 2, phi_i_L = 3.000000000000001, phi_i_H = 7.399999999999993, Action: phi_i_H[2] increased by 0.1
Episode 2403: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[4] decreased by 0.1
Episode 2424: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[5] decreased by 0.1
Episode 2427: lambda_i = 1, phi_i_L = 0.7999999999999988, phi_i_H = 4.799999999999997, Action: phi_i_L[1] decreased by 0.1
Episode 2430: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 7.399999999999993, Action: phi_i_L[2] decreased by 0.1
Episode 2440: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2441: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.2000000000000006, Action: phi_i_L[3] decreased by 0.1
Episode 2449: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2463: lambda_i = 1, phi_i_L = 0.7999999999999988, phi_i_H = 4.899999999999997, Action: phi_i_H[1] increased by 0.1
Episode 2485: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2490: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2491: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[3] increased by 0.1
Episode 2507: lambda_i = 0, phi_i_L = 1.7999999999999985, phi_i_H = 5.699999999999996, Action: phi_i_H[0] increased by 0.1
Episode 2514: lambda_i = 0, phi_i_L = 1.6999999999999984, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 2530: lambda_i = 1, phi_i_L = 0.7999999999999988, phi_i_H = 4.9999999999999964, Action: phi_i_H[1] increased by 0.1
Episode 2550: lambda_i = 1, phi_i_L = 0.6999999999999988, phi_i_H = 4.9999999999999964, Action: phi_i_L[1] decreased by 0.1
Episode 2557: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2569: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[3] decreased by 0.1
Episode 2574: lambda_i = 0, phi_i_L = 1.5999999999999983, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 2579: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2582: lambda_i = 2, phi_i_L = 2.900000000000001, phi_i_H = 7.499999999999993, Action: phi_i_H[2] increased by 0.1
Episode 2588: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2612: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2619: lambda_i = 0, phi_i_L = 1.5999999999999983, phi_i_H = 5.799999999999995, Action: phi_i_H[0] increased by 0.1
Episode 2641: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 4.9999999999999964, Action: phi_i_L[1] decreased by 0.1
Episode 2644: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.099999999999996, Action: phi_i_H[1] increased by 0.1
Episode 2645: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_H[1] increased by 0.1
Episode 2648: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2670: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2682: lambda_i = 0, phi_i_L = 1.4999999999999982, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 2696: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2697: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.499999999999993, Action: phi_i_L[2] decreased by 0.1
Episode 2717: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2726: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2733: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.5999999999999925, Action: phi_i_H[2] increased by 0.1
Episode 2750: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.199999999999996, Action: phi_i_H[1] increased by 0.1
Episode 2761: lambda_i = 0, phi_i_L = 1.4999999999999982, phi_i_H = 5.799999999999995, Action: phi_i_H[1] increased by 0.1
Episode 2764: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.3000000000000007, Action: phi_i_L[3] decreased by 0.1
Episode 2766: lambda_i = 0, phi_i_L = 1.3999999999999981, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 2773: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.400000000000001, Action: phi_i_H[3] increased by 0.1
Episode 2779: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.5999999999999925, Action: phi_i_H[3] increased by 0.1
Episode 2793: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2801: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2839: lambda_i = 0, phi_i_L = 1.3999999999999981, phi_i_H = 5.799999999999995, Action: phi_i_L[5] decreased by 0.1
Episode 2842: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2848: lambda_i = 2, phi_i_L = 2.8000000000000007, phi_i_H = 7.699999999999992, Action: phi_i_H[2] increased by 0.1
Episode 2854: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[3] increased by 0.1
Episode 2860: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 2861: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.299999999999995, Action: phi_i_H[1] increased by 0.1
Episode 2864: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2872: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.299999999999995, Action: phi_i_L[4] decreased by 0.1
Episode 2888: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2914: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[5] increased by 0.1
Episode 2928: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[4] increased by 0.1
Episode 2933: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.699999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 2935: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 2945: lambda_i = 0, phi_i_L = 1.299999999999998, phi_i_H = 5.799999999999995, Action: phi_i_L[5] decreased by 0.1
Episode 2960: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 2972: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 2978: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.399999999999995, Action: phi_i_H[1] increased by 0.1
Episode 2979: lambda_i = 0, phi_i_L = 1.199999999999998, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 2980: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.799999999999992, Action: phi_i_H[2] increased by 0.1
Episode 3019: lambda_i = 2, phi_i_L = 2.7000000000000006, phi_i_H = 7.799999999999992, Action: phi_i_H[2] increased by 0.1
Episode 3021: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3024: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3028: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[2] increased by 0.1
Episode 3033: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.399999999999995, Action: phi_i_H[2] increased by 0.1
Episode 3064: lambda_i = 2, phi_i_L = 2.6000000000000005, phi_i_H = 7.799999999999992, Action: phi_i_L[2] decreased by 0.1
Episode 3078: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 3080: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 5.799999999999995, Action: phi_i_L[0] decreased by 0.1
Episode 3098: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3111: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.500000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 3115: lambda_i = 2, phi_i_L = 2.6000000000000005, phi_i_H = 7.8999999999999915, Action: phi_i_H[2] increased by 0.1
Episode 3121: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 3124: lambda_i = 1, phi_i_L = 0.5999999999999989, phi_i_H = 5.399999999999995, Action: phi_i_L[4] decreased by 0.1
Episode 3146: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[4] increased by 0.1
Episode 3147: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[5] increased by 0.1
Episode 3149: lambda_i = 1, phi_i_L = 0.4999999999999989, phi_i_H = 5.399999999999995, Action: phi_i_L[1] decreased by 0.1
Episode 3159: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3172: lambda_i = 0, phi_i_L = 1.0999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_H[0] decreased by 0.1
Episode 3183: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[5] decreased by 0.1
Episode 3204: lambda_i = 1, phi_i_L = 0.4999999999999989, phi_i_H = 5.499999999999995, Action: phi_i_H[1] increased by 0.1
Episode 3206: lambda_i = 2, phi_i_L = 2.5000000000000004, phi_i_H = 7.8999999999999915, Action: phi_i_L[2] decreased by 0.1
Episode 3213: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3233: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[3] decreased by 0.1
Episode 3245: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 3257: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.499999999999995, Action: phi_i_L[1] decreased by 0.1
Episode 3262: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[5] increased by 0.1
Episode 3265: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.599999999999994, Action: phi_i_H[1] increased by 0.1
Episode 3273: lambda_i = 2, phi_i_L = 2.5000000000000004, phi_i_H = 7.999999999999991, Action: phi_i_H[2] increased by 0.1
Episode 3277: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3287: lambda_i = 0, phi_i_L = 0.9999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3308: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[5] decreased by 0.1
Episode 3312: lambda_i = 2, phi_i_L = 2.4000000000000004, phi_i_H = 7.999999999999991, Action: phi_i_L[2] decreased by 0.1
Episode 3323: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.600000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3334: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.700000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3344: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[4] increased by 0.1
Episode 3348: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 3370: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3392: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.699999999999994, Action: phi_i_H[1] increased by 0.1
Episode 3402: lambda_i = 2, phi_i_L = 2.4000000000000004, phi_i_H = 8.09999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3406: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[5] increased by 0.1
Episode 3415: lambda_i = 0, phi_i_L = 0.8999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_H[5] increased by 0.1
Episode 3417: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.699999999999994, Action: phi_i_H[5] increased by 0.1
Episode 3418: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[5] decreased by 0.1
Episode 3420: lambda_i = 2, phi_i_L = 2.4000000000000004, phi_i_H = 8.09999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 3460: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_H[3] increased by 0.1
Episode 3467: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3482: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 3488: lambda_i = 2, phi_i_L = 2.3000000000000003, phi_i_H = 8.09999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 3489: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.699999999999994, Action: phi_i_L[2] decreased by 0.1
Episode 3498: lambda_i = 0, phi_i_L = 0.7999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3521: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.800000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 3522: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[5] decreased by 0.1
Episode 3525: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 3526: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[4] increased by 0.1
Episode 3528: lambda_i = 1, phi_i_L = 0.3999999999999989, phi_i_H = 5.799999999999994, Action: phi_i_H[1] increased by 0.1
Episode 3543: lambda_i = 0, phi_i_L = 0.7999999999999979, phi_i_H = 5.699999999999996, Action: phi_i_H[1] increased by 0.1
Episode 3565: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_H[5] increased by 0.1
Episode 3570: lambda_i = 2, phi_i_L = 2.3000000000000003, phi_i_H = 8.19999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3587: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 3596: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[4] decreased by 0.1
Episode 3598: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.19999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 3629: lambda_i = 0, phi_i_L = 0.699999999999998, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3655: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.799999999999994, Action: phi_i_L[1] decreased by 0.1
Episode 3656: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_H[2] increased by 0.1
Episode 3664: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.899999999999993, Action: phi_i_H[1] increased by 0.1
Episode 3669: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_H[4] increased by 0.1
Episode 3671: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_H[4] increased by 0.1
Episode 3675: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 3683: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 3696: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] decreased by 0.1
Episode 3712: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3720: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 5.699999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3726: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[4] decreased by 0.1
Episode 3728: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
Episode 3740: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 3748: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 3774: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] decreased by 0.1
Episode 3790: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 3792: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 3806: lambda_i = 0, phi_i_L = 0.599999999999998, phi_i_H = 5.599999999999996, Action: phi_i_H[0] decreased by 0.1
Episode 3813: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_H[0] decreased by 0.1
Episode 3817: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.999999999999993, Action: phi_i_H[1] increased by 0.1
Episode 3825: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_L[4] increased by 0.1
Episode 3833: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.999999999999993, Action: phi_i_L[4] increased by 0.1
Episode 3845: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[4] increased by 0.1
Episode 3848: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[4] increased by 0.1
Episode 3851: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 5.599999999999996, Action: phi_i_L[0] decreased by 0.1
Episode 3858: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 3869: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 3883: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[0] decreased by 0.1
Episode 3903: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_L[0] decreased by 0.1
Episode 3911: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_L[0] decreased by 0.1
Episode 3923: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 3934: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] increased by 0.1
Episode 3937: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 5.4999999999999964, Action: phi_i_H[0] decreased by 0.1
Episode 3944: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_H[0] decreased by 0.1
Episode 3966: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.999999999999993, Action: phi_i_H[0] decreased by 0.1
Episode 3991: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 5.999999999999993, Action: phi_i_H[0] decreased by 0.1
Episode 3998: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[0] decreased by 0.1
Episode 4006: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.1000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 4009: lambda_i = 2, phi_i_L = 2.2, phi_i_H = 8.29999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 4025: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4028: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 5.4999999999999964, Action: phi_i_L[5] decreased by 0.1
Episode 4032: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[4] decreased by 0.1
Episode 4052: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] increased by 0.1
Episode 4053: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_H[3] increased by 0.1
Episode 4058: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.0999999999999925, Action: phi_i_H[3] increased by 0.1
Episode 4083: lambda_i = 2, phi_i_L = 2.1, phi_i_H = 8.29999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 4087: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4091: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4120: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 5.4999999999999964, Action: phi_i_L[5] decreased by 0.1
Episode 4122: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[4] increased by 0.1
Episode 4128: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4143: lambda_i = 1, phi_i_L = 0.29999999999999893, phi_i_H = 6.199999999999992, Action: phi_i_H[1] increased by 0.1
Episode 4150: lambda_i = 0, phi_i_L = 0.499999999999998, phi_i_H = 5.4999999999999964, Action: phi_i_H[1] increased by 0.1
Episode 4151: lambda_i = 2, phi_i_L = 2.1, phi_i_H = 8.29999999999999, Action: phi_i_H[1] increased by 0.1
Episode 4153: lambda_i = 1, phi_i_L = 0.19999999999999893, phi_i_H = 6.199999999999992, Action: phi_i_L[1] decreased by 0.1
Episode 4169: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4177: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[5] decreased by 0.1
Episode 4208: lambda_i = 2, phi_i_L = 2.0, phi_i_H = 8.29999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 4227: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4230: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 4241: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4249: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 3.2000000000000015, Action: phi_i_L[3] decreased by 0.1
Episode 4253: lambda_i = 0, phi_i_L = 0.399999999999998, phi_i_H = 5.4999999999999964, Action: phi_i_L[0] decreased by 0.1
Episode 4255: lambda_i = 2, phi_i_L = 2.0, phi_i_H = 8.29999999999999, Action: phi_i_L[0] decreased by 0.1
